obra_ref,url,chapter_hint
obra_0001,https://ezmanga.org/series/a-bad-example-of-a-perfect-curse,
obra_0031,https://ezmanga.org/series/atonement-regarding-its-cruelty,
obra_0038,https://nyxscans.com/series/beginning-part-2-of-the-failure,
obra_0045,https://ezmanga.org/series/bound-to-your-ruin,
obra_0063,https://ezmanga.org/series/zx4u-depaysement,
obra_0072,https://nyxscans.com/series/don't-look-for-the-resurrected-villain,
obra_0073,https://ezmanga.org/series/don't-obsess-over-the-fake-princess!,
obra_0082,https://ezmanga.org/series/endless-yearning,
obra_0103,https://ezmanga.org/series/goodbye-unfaithful-fiance-ill-find-happiness-in-the-next-game,
obra_0132,https://ezmanga.org/series/i-became-the-trashy-dukes-affair-partner,
obra_0139,https://ezmanga.org/series/i-cant-get-a-divorce-because-the-duke-is-too-fond-of-me,
obra_0153,https://ezmanga.org/series/i-know-i-shouldnt-do-this-with-the-duke,
obra_0156,https://ezmanga.org/series/i-married-the-monster-twice,
obra_0159,https://ezmanga.org/series/i-only-need-the-dukes-child,
obra_0159,https://nyxscans.com/series/i-only-need-the-duke's-child,
obra_0162,https://ezmanga.org/series/i-refuse-to-be-executed-a-second-time,
obra_0168,https://ezmanga.org/series/i-tamed-the-tyrant-emperor,
obra_0178,https://ezmanga.org/series/i-will-dedicate-my-life-to-revenge1,
obra_0179,https://ezmanga.org/series/i-will-disappear-your-grace,
obra_0186,https://ezmanga.org/series/i-wish-my-husband-were-dead,
obra_0189,https://ezmanga.org/series/i'll-make-you-pay-with-your-life-for-deceiving-me,
obra_0212,https://ezmanga.org/series/in-the-garden-of-may,
obra_0236,https://ezmanga.org/series/looking-for-the-villainesss-contract-husband,
obra_0236,https://nyxscans.com/series/looking-for-the-villainess's-contract-husband,
obra_0262,https://nyxscans.com/series/my-possession-became-a-ghost-story,
obra_0264,https://nyxscans.com/series/my-wife-waited-in-the-wheat-fields,
obra_0270,https://ezmanga.org/series/noble-in-name-vulgar-at-heart,
obra_0277,https://ezmanga.org/series/one-day-my-sister-died,
obra_0278,https://ezmanga.org/series/one-day-the-male-lead-fell-down,
obra_0303,https://nyxscans.com/series/shards-of-a-broken-glass-slipper-novel,
obra_0307,https://ezmanga.org/series/fez7-sleepless-death,
obra_0317,https://ezmanga.org/series/that-trash-was-me,
obra_0321,https://ezmanga.org/series/the-abandoned-princes-ghost-bride,
obra_0329,https://ezmanga.org/series/the-blind-beast's-endless-night,
obra_0333,https://ezmanga.org/series/the-brunettes-reaper,
obra_0338,https://nyxscans.com/series/the-crown-i-will-take-from-you-novel,
obra_0349,https://nyxscans.com/series/the-eldest-daughter-of-the-tang-clan-of-sacheon-protects-the-family,
obra_0355,https://ezmanga.org/series/the-end-of-a-fake-marriage,
obra_0359,https://ezmanga.org/series/the-forgotten-field,
obra_0359,https://nyxscans.com/series/the-forgotten-field,
obra_0360,https://nyxscans.com/series/the-ghost-bride-of-the-abandoned-prince,
obra_0361,https://nyxscans.com/series/the-hated-stepmother-begins-her-second-life,
obra_0375,https://nyxscans.com/series/the-oracle-of-the-villainous-baby,
obra_0376,https://nyxscans.com/series/the-oracle-of-the-villainous-baby-novel,
obra_0377,https://nyxscans.com/series/the-pearl-of-albrecht,
obra_0396,https://ezmanga.org/series/the-scandal-maker-has-returned,
obra_0396,https://nyxscans.com/series/the-scandal-maker-has-returned,
obra_0403,https://nyxscans.com/series/the-throttling-dawn,
obra_0409,https://ezmanga.org/series/the-villain's-pure-love,
obra_0409,https://nyxscans.com/series/the-villains-pure-love,
obra_0429,https://ezmanga.org/series/this-obsessive-love-runs-deeper-than-blood,
obra_0431,https://ezmanga.org/series/to-me-who-does-not-love-you,
obra_0433,https://ezmanga.org/series/to-the-perfect-duke,
obra_0441,https://ezmanga.org/series/unbeknownst-to-me-i-am-secretly-dating-the-emperor,
obra_0441,https://nyxscans.com/series/unbeknownst-to-me-i-am-secretly-dating-the-emperor,
obra_0447,https://ezmanga.org/series/what-the-duke-picked-up-in-the-forest,
