categoria,valor
tipo,Manga
tipo,Manwha
tipo,Manhua
tipo,Novel
status_leitura,To read
status_leitura,Reading
status_leitura,Complete
status_leitura,Paused
status_leitura,Dropped
status_publicacao,Ongoing
status_publicacao,Completed
status_publicacao,One shot
status_publicacao,Hiatus
status_publicacao,Canceled
rating,1
rating,2
rating,3
rating,4
rating,5
genero,Action
genero,Adult
genero,Adventure
genero,Comedy
genero,Drama
genero,Ecchi
genero,Fantasy
genero,Gender Bender
genero,Harem
genero,Historical
genero,Horror
genero,Josei
genero,Martial Arts
genero,Mature
genero,Mecha
genero,Mystery
genero,Psychological
genero,Romance
genero,School Life
genero,Sci-fi
genero,Seinen
genero,Shoujo
genero,Shoujo Ai
genero,Shounen
genero,Shounen Ai
genero,Slice of Life
genero,Smut
genero,Sports
genero,Supernatural
genero,Tragedy
genero,Wuxia
genero,Xianxia
genero,Xuanhuan
genero,Smut
tag,Abandoned Children
tag,Ability Steal
tag,Absent Parents
tag,Abusive Characters
tag,Academy
tag,Accelerated Growth
tag,Acting
tag,Adapted from Manga
tag,Adapted from Manhua
tag,Adapted to Anime
tag,Adapted to Drama
tag,Adapted to Drama CD
tag,Adapted to Game
tag,Adapted to Manga
tag,Adapted to Manhua
tag,Adapted to Manhwa
tag,Adapted to Movie
tag,Adapted to Visual Novel
tag,Adopted Children
tag,Adopted Protagonist
tag,Adultery
tag,Adventurers
tag,Affair
tag,Age Progression
tag,Age Regression
tag,Aggressive Characters
tag,Alchemy
tag,Aliens
tag,All-Girls School
tag,Alternate World
tag,Amnesia
tag,Amusement Park
tag,Ancient China
tag,Ancient Times
tag,Androgynous Characters
tag,Androids
tag,Angels
tag,Animal Characteristics
tag,Animal Rearing
tag,Anti-Magic
tag,Anti-social Protagonist
tag,Antihero Protagonist
tag,Antique Shop
tag,Apartment Life
tag,Apathetic Protagonist
tag,Apocalypse
tag,Appearance Changes
tag,Appearance Different from Actual Age
tag,Archery
tag,Aristocracy
tag,Arms Dealers
tag,Army
tag,Army Building
tag,Arranged Marriage
tag,Arrogant Characters
tag,Artifact Crafting
tag,Artifacts
tag,Artificial Intelligence
tag,Artists
tag,Assassins
tag,Astrologers
tag,Autism
tag,Automatons
tag,Average-looking Protagonist
tag,Award-winning Work
tag,Awkward Protagonist
tag,Bands
tag,Based on a Movie
tag,Based on a Song
tag,Based on a TV Show
tag,Based on a Video Game
tag,Based on a Visual Novel
tag,Based on an Anime
tag,Battle Academy
tag,Battle Competition
tag,BDSM
tag,Beast Companions
tag,Beastkin
tag,Beasts
tag,Beautiful Female Lead
tag,Betrayal
tag,Bickering Couple
tag,Biochip
tag,Bisexual Protagonist
tag,Blackmail
tag,Blacksmith
tag,Blind Dates
tag,Blind Protagonist
tag,Blood Manipulation
tag,Bloodlines
tag,Body Swap
tag,Body Tempering
tag,Body-double
tag,Bodyguards
tag,Books
tag,Bookworm
tag,Boss-Subordinate Relationship
tag,Brainwashing
tag,Broken Engagement
tag,Brother Complex
tag,Brotherhood
tag,Buddhism
tag,Bullying
tag,Business Management
tag,Businessmen
tag,Butlers
tag,Calm Protagonist
tag,Cannibalism
tag,Card Games
tag,Carefree Protagonist
tag,Caring Protagonist
tag,Cautious Protagonist
tag,Celebrities
tag,Character Growth
tag,Charismatic Protagonist
tag,Charming Protagonist
tag,Chat Rooms
tag,Cheats
tag,Chefs
tag,Child Abuse
tag,Child Protagonist
tag,Childcare
tag,Childhood Friends
tag,Childhood Love
tag,Childhood Promise
tag,Childish Protagonist
tag,Chuunibyou
tag,Clan Building
tag,Classic
tag,Clever Protagonist
tag,Clingy Lover
tag,Clones
tag,Clubs
tag,Clumsy Love Interests
tag,Co-Workers
tag,Cohabitation
tag,Cold Love Interests
tag,Cold Protagonist
tag,Collection of Short Stories
tag,College/University
tag,Coma
tag,Comedic Undertone
tag,Coming of Age
tag,Compensated Dating
tag,Complex Family Relationships
tag,Conditional Power
tag,Confident Protagonist
tag,Confinement
tag,Conflicting Loyalties
tag,Contracts
tag,Cooking
tag,Corruption
tag,Cosmic Wars
tag,Cosplay
tag,Couple Growth
tag,Court Official
tag,Cousins
tag,Cowardly Protagonist
tag,Crafting
tag,Crime
tag,Criminals
tag,Cross-dressing
tag,Crossover
tag,Cruel Characters
tag,Cryostasis
tag,Cultivation
tag,Cunning Protagonist
tag,Curious Protagonist
tag,Curses
tag,Cute Children
tag,Cute Protagonist
tag,Cute Story
tag,Dancers
tag,Dao Companion
tag,Dao Comprehension
tag,Daoism
tag,Dark
tag,Dead Protagonist
tag,Death
tag,Death of Loved Ones
tag,Debts
tag,Delinquents
tag,Delusions
tag,Demi-Humans
tag,Demon Lord
tag,Demonic Cultivation Technique
tag,Demons
tag,Dense Protagonist
tag,Depictions of Cruelty
tag,Depression
tag,Destiny
tag,Detectives
tag,Determined Protagonist
tag,Devoted Love Interests
tag,Different Social Status
tag,Discrimination
tag,Disfigurement
tag,Dishonest Protagonist
tag,Distrustful Protagonist
tag,Divination
tag,Divine Protection
tag,Divorce
tag,Doctors
tag,Dolls/Puppets
tag,Domestic Affairs
tag,Doting Love Interests
tag,Doting Older Siblings
tag,Doting Parents
tag,Dragon Riders
tag,Dragon Slayers
tag,Dragons
tag,Dreams
tag,Drugs
tag,Druids
tag,Dungeon Master
tag,Dungeons
tag,Dwarfs
tag,Dystopia
tag,e-Sports
tag,Early Romance
tag,Earth Invasion
tag,Easy Going Life
tag,Economics
tag,Editors
tag,Eidetic Memory
tag,Elderly Protagonist
tag,Elemental Magic
tag,Elves
tag,Emotionally Weak Protagonist
tag,Empires
tag,Enemies Become Allies
tag,Enemies Become Lovers
tag,Engagement
tag,Engineer
tag,Enlightenment
tag,Episodic
tag,Eunuch
tag,European Ambience
tag,Evil Gods
tag,Evil Organizations
tag,Evil Protagonist
tag,Evil Religions
tag,Evolution
tag,Exhibitionism
tag,Exorcism
tag,Eye Powers
tag,Fairies
tag,Fallen Angels
tag,Fallen Nobility
tag,Familial Love
tag,Familiars
tag,Family
tag,Family Business
tag,Family Conflict
tag,Famous Parents
tag,Famous Protagonist
tag,Fanaticism
tag,Fanfiction
tag,Fantasy Creatures
tag,Fantasy World
tag,Farming
tag,Fast Cultivation
tag,Fast Learner
tag,Fat Protagonist
tag,Fat to Fit
tag,Fated Lovers
tag,Fearless Protagonist
tag,Fellatio
tag,Female Master
tag,Female Protagonist
tag,Female to Male
tag,Feng Shui
tag,Firearms
tag,First Love
tag,First-time Intercourse
tag,Flashbacks
tag,Fleet Battles
tag,Folklore
tag,Forced into a Relationship
tag,Forced Living Arrangements
tag,Forced Marriage
tag,Forgetful Protagonist
tag,Former Hero
tag,Found Family
tag,Fox Spirits
tag,Friends Become Enemies
tag,Friendship
tag,Fujoshi
tag,Futanari
tag,Futuristic Setting
tag,Galge
tag,Gambling
tag,Game Elements
tag,Game Ranking System
tag,Gamers
tag,Gangs
tag,Gate to Another World
tag,Genderless Protagonist
tag,Generals
tag,Genetic Modifications
tag,Genies
tag,Genius Protagonist
tag,Ghosts
tag,Gladiators
tag,Glasses-wearing Love Interests
tag,Glasses-wearing Protagonist
tag,Goblins
tag,God Protagonist
tag,God-human Relationship
tag,Goddesses
tag,Godly Powers
tag,Gods
tag,Golems
tag,Gore
tag,Grave Keepers
tag,Grinding
tag,Guardian Relationship
tag,Guideverse
tag,Guilds
tag,Gunfighters
tag,Hackers
tag,Half-human Protagonist
tag,Handsome Male Lead
tag,Hard-Working Protagonist
tag,Harem-seeking Protagonist
tag,Harsh Training
tag,Hated Protagonist
tag,Healers
tag,Heartwarming
tag,Heaven
tag,Heavenly Tribulation
tag,Hell
tag,Helpful Protagonist
tag,Herbalist
tag,Heroes
tag,Heterochromia
